光学字符识别	OCR
含糊其辞者	equivocator
含糊地说	slurring
含糖的	sugary
含羞草	mimosa
含臭氧的	ozoniferous
含蓄	undemonstrative
含薄荷醇的	mentholated
含血的	sanguineous
含酚的	carbolated
含金属的	metalliferous
含金的	auriferous
含钙的	calciferous
含铅的	leaded
含铜	cupriferous
含银的	argentiferous
含锌的	zinciferous
含镁的	magnesian
听	hark|listen
听不见	inaudibility
听了	listened
听众	listener
听写	dictation
听到	heard
听力	hearing
听力图	audiogram
听力学	audiology
听力学家	audiologist
听力测定	audiometry
听力测定的	audiometric
听力的	audiological
听力范围	earshot
听力计	audiometer
听审	oyer
听筒	handset
听者	hearer
听见	hear
听觉上	aurally
听觉的	aural|auditive
听证会	hearings
听诊	auscultate|auscultation
听诊器	stethoscope
听诊法	stethoscopy
听诊的	stethoscopic
听起来	sounded
听错	mishear
启动	booting|initiation
启动器	starter
启动过程	initiations
启发	enlighten
启发式	heuristic
启发式地	heuristically
启发法	heuristics
启发的	illuminative|enlightening
启用	enable
启示	revelation
启示的	revelatory
启示者	revelator
启迪	edify|edification
启迪的	edifying
吱吱作响者	squeaker
吱吱叫	cheep
吱吱叫了	squeaked
吱吱响的	squeaky
吱吱声	squeak|squitter
吱嘎作响	creaked|creaking
吱嘎作响的	creaky
吱嘎声	creak
吲哚	indole
吴	Wu
吴茱萸	evodia
吵闹地	noisily
吵闹的	rowdy|noisy
吸	suck
吸了	sucked
吸入	inhale|indraft
吸入剂	inhalant
吸入器	inhaler|inhalator
吸入的	indrawn|inhaled
吸力	suction
吸吮中	sucking
吸吮的	suctorial
吸墨	blotting
吸墨纸	blotter
吸尘	vacuumed|vacuuming
吸干	sponged|sponging
吸引	attract
吸引人地	appealingly
吸引人的	appealing
吸引力	attraction|attractiveness
吸引子	attractor
吸收	imbibe|resorb
吸收中	assimilating
吸收剂	absorbent
吸收器	absorber
吸收性	absorbability
吸收率	absorptance
吸收的	absorbing|absorptive
吸收能力	absorbency
吸毒者	doper
吸气的	inspiratory
吸汁啄木鸟	sapsucker
吸湿	wicking
吸湿的	hygroscopic
吸烟	smokes|smoking
吸烟者	smoker
吸盘	sucker
吸管	aspirator
吸虫	trematode
吸蜜鹦鹉	lory
吸血者	bloodsucker
吸血鬼	vampire
吸血鬼幸存者	Vampire Survivors
吸附	adsorb|sorption
吸附中	adsorbing
吸附作用	adsorption
吸附剂	sorbent
吸附的	adsorbed|adsorptive
吹	blew|blow
吹入	insufflate
吹制	blown
吹口哨	whistled|whistling
吹口哨者	whistler
吹号	bugling
吹号的	bugled
吹嘘	brag|boast
吹嘘了	boasted
吹嘘者	boaster
吹嘘过	bragged
吹毛求疵	hairsplitting
吹毛求疵者	carper|faultfinder
吹气	puffing
吹牛的	tinhorn|thrasonical
吹牛者	bragger|blowhard
吹玻璃工	glassblower
吹笛人	Pied Piper
吹笛者	Piper|pipers
吹管	punty|blowpipe
吹箭筒	blowgun
吻	kiss
吻了	kissed
吻合	dovetail|anastomoses
吻合的	anastomotic
吻痕	Hickey
吼叫	bellow
吼叫了	bellowed
吼叫着	bellowing
吼猴	howler
呀	Yuh
呃	er|haw
呆子	booby
呆小病	cretinism
呆板	woodenness
呆板地	woodenly|inanimately
呆板的	blockish
呆看	gawk
呈现	presented|presenting
告别	farewell
告别的	valedictory
告别辞	valediction
告密者	fink|ratfink
告知	told
告诉	tell
告诫	admonish|cautioned
告诫的	admonitory|admonished
呋喃	furan
呐喊	outcries
呕吐	puke|barf
呕吐物	vomitory
呕吐的	vomited
员工	staff
呜咽	pule|mewl
呜咽的	whimpered
周	wks|Chou
周一	mon|mon.
周一感	mondayish
周中	midweek
周二	tue.
周四	thu|thu.
周围	peri
周围环境	circumambience
周围的	ambient|surrounding
周年庆	jubilee
周年纪念	anniversary|anniversaries
周期性	periodicity
周期性的	periodic
周末	weekend
周末旅行者	weekender
周转	turnaround
周边	environs
周长	perimeter|circumference
周长的	circumferential
呱呱叫	croak
呱呱叫中	croaking
呱呱叫过	croaked
味觉	gustation
味觉的	gustatory
味道	sapor|taste
呸	fie|bah
呻吟	moan|groan
呻吟了	moaned|groaned
呻吟声	groans
呻吟着	moaning|groaning
呻吟者	groaner
呼	phew
呼出	exhale
呼出中	exhaling
呼叫	call
呼叫者	caller
呼吸	breath|breathe
呼吸器	respirator
呼吸的	respiratory
呼吸系统	respiratory system
呼吸过的	breathed
呼呼作响	whirring
呼呼声	whir|whirr
呼啸	whizzing
呼啸而过	whizzed
呼喊	exclaim
呼喊的	exclaimed
呼喊者	exclaimer
呼格	vocative
呼气	exhalation
呼气的	expiratory
命中注定地	fatefully
命中注定的	fated
命令	cmd|bade
命令的	enjoined
命令行	cmdline|PowerShell
命令行界面	CLI|Command-Line Interface
命名	naming|denominate
命名为	intitule
命名法	nomenclature
命名的	named
命名空间	namespace
命名者	namer
命脉	lifeblood
命运	fate|kismet
命题	proposition
命题地	propositionally
命题的	propositional
咀嚼	chaw|chew
咀嚼的	munching|masticatory
咀嚼者	chewer
咀嚼过的	chewed|munched
咄咄逼人的	pushy
咆哮	roar|rant
咆哮中	ranting|snarling
咆哮了	blustered
咆哮地	growlingly
咆哮的	blustery|blustering
咆哮者	ranter|roarer
咆哮过	ranted
和	et|amd
和号	ampersand
和善	goodnatured
和声	harmonics
和声学家	Harmonist
和尚	bonze
和平	peace
和平与爱	Peace & Love
和平主义	pacifism
和平主义的	pacifistic
和平主义者	pacifist
和平之国	darussalam
和平地	peacefully|pacifically
和平时期	peacetime
和平烟斗	calumet
和平的	peaceful
和弦	chord
和弦的	chorded
和服	kimono
和蔼	affability
和解	rapprochement|reconciliation
和解提议	eirenicon
和解的	reconciliatory
和谐	concord|harmony
和谐一号	Harmony One
和谐地	harmoniously|harmonically
和谐性	harmoniousness
和谐的	unisonous|harmonious
和风	zephyr
咏叙调	arioso
咏叹调	aria
咒语	spells|abracadabra
咒骂	eff|cuss
咔嗒	clack
咔嗒作响	clattered|clattering
咔嗒声	clatter
咔嚓	snick
咕咕叫	cooing
咕咕声	coo
咕哝	grunt|mumble
咕哝声	mumblings
咕哝的	mumbled|mumbling
咕哝者	mumbler|mutterer
咕噜声	purr
咖啡	coffee
咖啡因	caffein|caffeine
咖啡壶	coffeepot
咖啡杯	coffeecup
咖啡馆	cafe|caf'e
咖喱	curry|curries
咖喱烹饪	currying
咖喱的	curried
咖喱酱	currysauce
咚	duang
咧嘴笑	grin|grinning
咧嘴笑地	grinningly
咨询	consult|advisory
咨询业	consultancy
咨询的	consultative
咩	baa
咩叫	bleat
咩咩声	bleating
咪咪	Mimi
咬	bite
咬人者	biter
咬伤	bites
咬牙	gnash
咬过	bitten
咯咯叫	cackle
咯咯叫了	cackled|clucked
咯咯叫声	clucks
咯咯叫着	clucking|cackling
咯咯叫者	cackler
咯咯声	cluck
咯咯笑	giggle|chortle
咯咯笑了	giggled
咯咯笑着	giggling
咳出	expectorate
咳嗽	cough
咳嗽了	coughed
咳嗽的	tussive
咳痰	expectoration
咸味	saltiness
咸水	saltwater
咸的	salty|briny
咸肉	sowbelly
咽	pharynx
咽炎	pharyngitis
咽的	faucal
哀伤	plaintiveness
哀伤地	plaintively
哀伤的	wailful|plaintive
哀号	wail
哀叹	bewail|bemoan
哀嚎	ululate
哀嚎声	ululation
哀嚎的	ululant
哀悼	mourn|lament
哀悼者	mourner
哀悼过的	mourned
哀歌	elegy|laments
哀歌作者	elegist
哀歌的	elegiac
哀诉	plaint|jeremiad
品他病	pinta
品味	savor|savour
品味中	savoring
品味过的	savored
品尝	tasting
品尝过	tasted
品牌	brand|marque
品牌化	branding
品玩	PingWest
品种	breed|variety
品种的	varietal
品红色	magenta
品脱	pint
品鉴师	taster
哄骗	coax|cajole
哄骗中	cajoling
哄骗了	cajoled
哄骗地	coaxingly
哄骗术	cajolery
哄骗的	coaxed|coaxing
哄骗者	coaxer
哇	wow|vum
哈	ha
哈丁	Hardin|Harding
哈丽特	Harriet
哈伦	Harlan
哈伯德	Hubbard
哈伯曼	Haberman
哈佛	Harvard
哈佛化	Harvardize
哈佛法学院	HLS
哈克	Huck
哈克尼	hackney
哈克曼	hackman
哈克特	Hackett
哈利南	Hallinan
哈利法克斯	Halifax
哈利路亚	hallelujahIM
哈博罗内	Gaborone|Gaberones
哈卡舞	haka
哈哈	haha
哈士奇	huskies
哈奇森	Hutchison
哈姆林	Hamlin
哈密瓜	cantaloup|cantaloupe
哈密顿	Hamiltonian
哈密顿量	Hamiltonians
哈尔	Hal|hal
哈尔弗森	Halverson
哈尔彭	Halpern
哈尔斯特德	Halstead
哈尔滨	Harbin
哈尔西	Halsey
哈尼	Haney
哈巴涅拉	habanera
哈巴狗	pug|lapdog
哈布斯堡	Hapsburg
哈希	hash
哈希什	hashish
哈希器	hasher
哈德利	Hadley
哈德良	Hadrian
哈德逊	Hudson
哈恩	Hahn
哈拉卡	haraka
哈拉面包	chalah|challah
哈撒韦	Hathaway
哈斯	Haas
哈斯克尔	Haskell
哈斯金斯	Haskins
哈普古德	Hapgood
哈曼	harman
哈杜普	hadoop
哈根	Hagen
哈格	Haag|Hager
哈格斯特龙	Hagstrom
哈比卜	Habib
哈灵顿	harington|Harrington
哈特利	Hartley
哈特拉斯	Hatteras
哈特曼	Hartman
哈特福德	Hartford
哈特菲尔德	Hatfield
哈班	habann
哈瓦那	Havana
哈米	Hamey
哈米特	Hammett
哈维	Harvey
哈维兰	Havilland
哈维化	Harveyize
哈罗德	Harold
哈罗生	harrovian
哈考特	Harcourt
哈耳庇厄	Harpy
哈莱姆	Harlem
哈菲兹	Hafiz
哈萨克斯坦	kazakhstan
哈蒂	Hattie
哈蒂兹	Hattize
哈蒂斯堡	Hattiesburg
哈蒙	Harmon
哈蒙德	Hammond
哈该	haggai
哈贝尔	Hubbell
哈达德	Haddad
哈里发	caliph
哈里斯	Harris
哈里斯堡	Harrisburg
哈里曼	Harriman
哈里森	Harrison
哈里森堡	Harrisonburg
哈金斯	Huggins
哈钦斯	Hutchins
哈钦森	Hutchinson
哈雷	Harley|Halley
哈马尔	Hamal
哈马斯	hamas
哈麦丹风	harmattan
响	rang
响亮	loud|sonority
响亮地	ringingly
响亮的	rattling|resounding
响尾蛇	rattler|rattlesnake
响尾蛇群	rattlers|rattlesnakes
响岩	phonolite
响度	loudness
响板	castanet
响音	sonant
哎呀	gee|aiee
哎哟	ow|ouch
哐当声	clunk|clank
哑	dumbness
哑光	matte
哑剧	mime|pantomime
哑剧演员	mummer|pantomimist
哑剧的	pantomimic
哑剧表演	mummery
哑弹	dud
哑火	misfire
哑然地	dumbly
哑的	dumb|mute
哑铃	dumbbell
哔叽	serge
哔哔声	beep
哔哩哔哩	bilibili
哔声	bleep
哗众取宠	claptrap
哗变	mutiny
哞	moo|moom
哞叫	lowing
哟	yow
哥伦布	Columbus
哥伦比亚	Colombia|Columbia
哥伦比亚人	Columbian|Colombians
哥伦比亚的	Colombian
哥斯拉	Godzilla
哥本哈根	Copenhagen
哥特	goth
哥特化	Gothicize
哥特化中	Gothicizing
哥特化的	Gothicized
哥特化者	Gothicizer
哥特式	Gothic
哥特式地	Gothically
哥特风格	Gothicism
哥白尼	Copernicus
哥白尼的	Copernican
哥萨克	Cossack
哥谭	Gotham
哦	oh|och
哦嗬	oho
哨兵	sentry|sentinel
哨艇	vedette
哪个	which
哪里	where
哪里会	where'd
哪里将	where'll
哪里已	where've
哪里是	where's
哭	cry
哭了	cried
哭泣	wept|weep
哭泣的	weepy
哭泣者	weeper
哮吼的	croupous
哮喘	asthma
哮喘的	asthmatic
哲学	philosophy|philosophies
哲学上	philosophically
哲学家	philosopher|philosophizer
哲学思考	philosophize|philosophise
哲学的	philosophic|philosophical
哺乳	suckle|breastfeeding
哺乳中	suckling
哺乳动物	mammal
哺乳动物的	mammalian
哺乳期	lactation
哺乳的	mammiferous
哼	boh|huh
哼了一声	snorted
哼唱	hum|hummed
哼声	snort
哼着	snorting
唆使	suborn
唇	labium
唇化	labialize|labialise
唇形的	labiate
唇状边缘	lipping
唇瓣	labellum
唇的	labial
唇读	lipreading
唇饰	labret
唉	ay|aie
唐人街	Chinatown
唐卡斯特	doncaster
唐娜	Donna
唐宁	Downing
唐尼	Downie|Downey
唐斯	Downs
唐氏综合征	mongolism
唐突地	brusquely
唐突的	brusque
唐纳	Donner
唐纳利	Donnelly
唐纳德	Donald
唐纳森	Donaldson
唐纳雀	tanager
唠叨	nag|maunder
唠叨的	nagging
唤起	evoke|arousal
唤起性的	evocative
唤醒	waken|rouse
唤醒了	wakened|awakened
唧唧声	chirr
售卖	vending
售后市场	aftermarket
售罄	sellout
售货员	salesclerk
唯一	sole
唯利是图	mercenariness
唯意志论	voluntarism
唯我论	solipsism
唯灵论的	spiritualistic
唯物主义	materialism
唯物主义者	materialist
唯美主义者	aesthete
唱	sang|sing
唱歌	sings|singing
唱歌地	singingly
唱歌盒	sing-box
唱片	EP
唱片爱好者	discophile
唱片目录	discography
唱诗班	choir
唱诗班成员	chorister
唱过	sung
唾弃	conspue
唾沫	spittle
唾液	saliva
唾液的	salivary
啁啾	chirrup
啃	gnaw|nibble
啃咬	gnaws|nibbling
啃咬的	gnawing
啃咬者	gnawer|nibbler
啃过的	gnawed|nibbled
啄	peck
啄木鸟	pecker|woodpecker
啄羊鹦鹉	kea
啄过	pecked
啄食	pecking
商	quotient
商业	biz|com
商业上	commercially
商业化	commercialization
商业套件	bizkit
商业性	commercialness
商业期刊	bizjournals
商业期刊雇佣	bizjournalshire
商业的	commercial|mercantile
商业评级	bizrate
商人	Chapman|merchant
商品	wares|commodity
商品交易总额	GMV
商品交易所	comex
商品推销	merchandising
商场	mall|emporium
商家编码	MSKU
商店	shop|store
商店扒手	shoplifter
商店的	shoppy
商店行窃	shoplifting
商标	TM|tm
商船	merchantman
商队旅馆	caravansary
商陆	pokeweed
啊	ah
啊哈	aha
啜泣	snivel
啜饮	sup|sip
啤酒	beer
啤酒味的	beery
啤酒杯	stein
啤酒检验员	aleconner
啤酒花	hops
啤酒馆	brasserie
啦	lah
啦啦队长	cheerleader
啧	tut
啪嗒声	splat
啮蚀状的	erose
啮齿动物	rodent
啰嗦者	proser
啼叫	crowed|crowing
喀喇昆仑	karakorum
喀土穆	Khartoum
喀尔巴阡	Carpathia
喀尔巴阡山脉	Carpathians
喀布尔	Kabul
喀拉喀托	Krakatoa
喀拉拉	kerala
喀斯特	karst
喀耳刻	Circe
喀里多尼亚	caledonia
喀里多尼亚的	Caledonian
喀麦隆	Cameroun|Cameroon
喂	hoy|ahoy
喂养	fed|feed
喂食器	feeder
善变	fickle|mercurial
善变的	capricious
善意	goodwill
善良	goodness
善良的	kindhearted
善行	benefaction
喇叭	klaxon
喇嘛	lama
喇嘛寺	lamasery
喇嘛教	lamaism
喉	larynx
喉切开术	laryngotomy
喉咙	troat|throat
喉头送话器	laryngaphone
喉炎	laryngitis
喉的	laryngeal
喉科学	laryngology
喉镜	laryngoscope
喉音化	gutturalize
喉音的	guttural
喊叫	yell|cries
喊叫者	crier|yeller
喋喋不休	jabber|patter
喋喋不休中	pattering
喋喋不休了	pattered
喋喋不休者	babbler|prattler
喘不过气的	breathless
喘息	gasp|heaves
喘息中	gasping
喘息了	gasped
喘息的	wheezy
喘息者	gasper
喘气	pant|winded
喙	neb
喙突	coracoid
喙部的	rostral
喜剧	comedy|comedies
喜剧演员	comedian
喜剧的	comedic
喜动物的	zoophilous
喜庆	festivity
喜庆的	festive
喜怒无常	moodiness
喜怒无常的	temperamental
喜悦	joy|delight
喜悦地	joyously
喜悦的	joyous
喜新	neophilia
喜旱的	xerophilous
喜来登	Sheraton
喜林芋	philodendron
喜欢	like|fond
喜气洋洋的	beaming
喜爱	fav|liking
喜马拉雅	Himalaya
喜马拉雅山脉	Himalayas
喜马拉雅的	himalayan
喜鹊	magpie
喝	drink|drank
喝彩	ovation
喝彩声	bravo
喝醉的	squiffed
喧嚣	hurly
喧嚷	vociferation
喧嚷的	vociferant|vociferous
喧闹	din|blat
喧闹地	boisterously
喧闹的	riotous|uproarious
喧闹者	clatterer
喵	mew|meow
喵了	mewed
喷出	puff|spew
喷出的	extrusive
喷口	spout
喷嘴	nozzle
喷墨	inkjet
喷墨打印机	DeskJet
喷子	flamer
喷射	spurt|jetted
喷射了	spurted
喷枪	airbrush
喷气助推起飞	jato
喷气声	chuff
喷气式客机	jetliner
喷气式飞机	jet
喷气机机场	jetport
喷水孔	blowhole
喷油井	gusher
喷泉	fountain
喷洒	sparge|sprayed
喷涌	spouting
喷溅	sputter
喷溅了	sputtered
喷火器	flamethrower
喷灯	blowlamp
喷砂	sandblast
喷雾	spray
喷雾器	sprayer
喹啉	quinoline
嗅	sniff
嗅探	sniffing
嗅探器	sniffer
嗅觉	olfaction
嗅觉的	olfactory
嗅过	sniffed
嗅闻	sniffs
嗉囊	craw
嗖	swoosh|whoosh
嗖嗖作响的	swished
嗖嗖声	whish|swish
嗜好	penchant
嗜盐菌	halophile
嗜睡症	narcolepsy
嗜血的	bloodthirsty
嗜酒的	bibulous
嗡嗡作响	buzzing
嗡嗡作响的	abuzz
嗡嗡声	buzz|hums
嗡鸣	thrum
嗤之以鼻	poohed
嗨	hi
嗨哟	halloo
嗨嗨俱乐部	HHCLUB
嗬	ho
嗯	hmm|ahem
嘈杂	noisiness
嘉吉	Cargill
嘉年华员工	carny
嘌呤霉素	puromycin
嘎吱作响	crunched|crunching
嘎吱声	crunch|scroop
嘎嘎叫	quack|squawk
嘎嘎叫了	quacked|squawked
嘎嘎叫声	squawks
嘎嘎叫着	squawking
嘎嘎声	rattle
嘎奇	gakki
嘘	chut|psst
嘘声	boo|hist
嘘走	shoo
嘟嘟声	toot|tootle
嘣	boing
嘧啶	pyrimidine
嘲弄	taunt|mocks
嘲弄地	jeeringly|mockingly
嘲弄的	mocking|sardonic
嘲弄者	guyer|mocker
嘲笑	jeer|razz
嘲笑了	mocked|scoffed
嘲笑地	sneeringly
嘲笑的	derisive
嘲笑着	ridiculing
嘲笑者	scoffer
嘲鸟	mockingbird
嘴	bazoo|mouth
嘴唇	lip
嘴的	oscular
嘶哑	hoarse|hoarseness
嘶哑地	hoarsely
嘶嘶作响	hissed|hissing
嘶嘶声	hiss|fizz
嘶鸣	neigh
嘻哈	Hip-Hop
嘻嘻	teehee
嘿	hey|heigh
嘿嘿	hehe
噗	pooh
噘嘴	pouts|pursed
噘嘴的	pouty
噘嘴者	pouter
器乐曲	instrumentals
器具	utensil
器官	organ
器官疗法	organotherapy
噩梦	nightmare
噩梦般	nightmarish
噪音	noise
噬菌体	bacteriophage
噱头	gag|shtick
噼啪作响	crackled
噼啪作响的	crackly
噼啪声	crackle|crepitation
噼啪的	crepitant
嚎叫	waul|howl
囊	sac
囊泡	vesicle
囊泡的	vesicular
囊状的	saccate
囊肿	cyst
囊肿的	cystic
囊胚	blastula
囚犯	inmate|prisoner
囚禁	captivity
四	four|tetra
四人组	foursome
四价的	tetravalent
四位一体	quaternity
四便士	fourpence
四倍	quad|fourfold
四倍高清	QHD
四元	quaternary
四元数	quaternion
四分之一	quarter
四分之一决赛	quarterfinal
四分之一决赛选手	quarterfinalist
四分之一混血	quadroon
四分之一统治者	tetrarch
四分位数	quartile
四分卫	quarterback
四分法	quartation
四分统治	tetrarchate
四分锯	quartersaw
四分音符	crotchet
四十	forty
四十年代	forties
四叶饰	quatrefoil
四学科	quadrivium
四年一度	quadrennial
四开	quarto
四日热	quartan
四旬斋的	Lenten
四月	avril|April
四极	quadrupole
四次	quartic|biquadratic
四点	quadripuntal
四环素	tetracycline
四联体	tetrad
四肢	extremities
四胞胎	quadruplet
四舍五入	rounding
四行诗	quatrain
四足动物	quadruped
四轮马车	landau|brougham
四边形	tetragon|quadrangle
四边形的	tetragonal|quadrangular
四部分	quadripartite
四部曲	tetralogy
四重	quadruplex
四重奏	quartet
四面体	tetrahedron
四面体的	tetrahedral
四音列	tetrachord
四音步	tetrameter
四项式	quadrinomial
回合	bout|rounds
回合制	Turn-Based
回味	aftertast|aftertaste
回响	reecho|resound
回响的	reverberant
回填	backfill
回声	echo
回声定位	echolocation
回复	reply|replies
回家	homeward
回应	respond|response
回应中	responding
回应了	responded
回应者	responder
回廊	cloisters
回归	reversion|regression
回归者	returner
回忆	recollect|reminisce
回忆录	memoir
回扣	rebate|kickback
回报	payoff|returns
回报者	reciprocator
回拨	callback
回收	recycle|reclaim
回收的	recycled|reclaimed
回收者	reclaimer
回放	playback
回文	palindrome
回文的	palindromic
回旋加速器	cyclotron
回旋诗	rondel
回旋镖	boomerang
回流	reflux|backwash
回滚	rollback
回火	tempering
回火的	tempered
回答	answer
回答者	answerer
回肠	ileum
回荡	echoed|echoing
回购	repurchase
回转赛	slalom
回避	sidestep|avoidance
回避的	abient
回避者	avoider
回针	backstitch
回针的	backstitched
回顾	retrospect|retrospection
因为	coz|because
因式分解	factorization
因弗内斯	Inverness
因果关系	causality|causation
因果地	causally
因果的	causal
因此	ergo|thus
因素	factor
因纽特人	Inuit
团	regiment
团伞花序	glomerule
团的	regimental
团结	solidarity|togetherness
团聚	reunion|agglomerate
团聚中	agglomerating
团聚物	agglomerates
团聚的	agglomerated
团队	team|crews
团队合作	teamwork
囤积	hoard|regrate
囤积者	hoarder
囤积行为	hoarding
园丁	gardener
园丁鸟	bowerbird
园艺	gardening|horticulture
园艺家	horticulturist|horticulturalist
园艺的	horticultural
困倦	sleepy|sleepiness
困倦地	sleepily
困倦的	dozy|drowsy
困境	limbo|plight
困惑	bemuse|puzzled
困惑中	befogging
困惑地	confusedly
困惑的	baffled|confused
困扰	beset|harried
困扰的	besetting
困苦	hardship
困难	difficult|difficulty
困难地	difficultly
围住	enclose
围住中	enclosing
围住的	fenced
围入公园	impark
围嘴	bib
围困	siege
围地	inclosure
围场	paddock
围城	contravallation
围墙	circumvallation
围巾	scarf|fogle
围巾别针	scarfpin
围捕	roundup
围攻	seige|besiege
围攻的	besieging
围攻者	besieger
围栏	corral|pinfold
围绕	girt|begird
围裙	pinny|apron
围裙量	apronful
围起	inclose
围起中	inclosing
围起的	inclosed
固件	firmware
固体	solids
固化	curing|solidifies
固化的	solidified
固定	belay|immobilization
固定剂	fixature|fixative
固定地	fixedly
固定性	fixity|fixedness
固定物	fixture|holdfast
固定电话	landline
固定的	fixed|belayed
固定螺钉	setscrew
固定装置	fixtures
固态硬盘	SSD|solid-state drive
固执	stubborn|obstinacy
固执地	stubbornly|inflexibly
固执己见	opinionated
固执的	mulish|froward
固有	inhere|inhesion
固有地	inherently
固有性	inherence
固有的	inherent
固特异	Goodyear
固着	fixation
固颌鱼	plectognath
国会	congress
国会地	congressionally
国会大厦	capitol|Reichstag
国会的	congressional
国内	domestic
国内地	domestically
国内生产总值	GDP|Gross Domestic Product
国外	abroad
国家	nation|country
国家主义	etatism|statism
国家地位	nationhood
国家的	national
国库	exchequer|treasuries
国有化	nationalize|nationalise
国民	nationals
国王	king
国王般的	kingly
国税局	IRS
国籍	nationality|nationalities
国际	international
国际专线	IPLC|International Private Leased Circuit
国际主义	internationalism
国际主义者	internationalist
国际以太网专线	International Ethernet Private Line
国际刑警组织	Interpol
国际化	in|internationalise
国际商业机器公司	International Business Machines
国际商会	icc
国际地	internationally
国际性	internationality
国际数据公司	International Data Corporation
国际日期格式	ISO
国际标准书号	ISBN|International Standard Book Number
国际标准刊号	ISSN
国际标准化组织	ISO
国际标准连续出版物编号	International Standard Serial Number
国际象棋	chess
国际货币基金组织	IMF|International Monetary Fund
国际足联	FIFA
国际通信卫星	Intelsat
国际音标	IPA
图书买卖	bibliopoly
图书管理员	librarian
图书胶片	bibliofilm
图书馆	library|libraries
图像	img|eicon
图像参考	imref
图像处理软件	Adobe Photoshop
图像学	iconography
图像学的	iconographic
图像格式	JPG|tga
图像生成	Imagen
图元文件	wmf
图兰的	turanian
图勒	Thule
图卢兹	Toulouse
图坦卡蒙	Tutankhamen|Tutenkhamon
图床	imgur
图形	graphic|graphical
图形交换格式	Graphics Interchange Format
图形化	graphically
图形处理器	GPU|Graphics Processing Unit
图形学会议	SIGGRAPH
图形接口	gdi|DirectX
图形界面	GUI|gui
图文广播	Teletext
图文电视	Teletex
图标	icon
图案	pattern
图案化	patterning
图森	Tucson
图灵	Turing
图片	pix|pic
图片压缩	TinyPNG
图片查看	PictureView
图瓦卢	tuvalu
图画地	pictorially
图画的	pictorial
图章	signet
图米	Toomey
图纸	drawings
图腾	totem
图腾崇拜	totemism
图腾崇拜的	totemistic
图腾崇拜者	totemist
图腾的	totemic
图表	graph|chart
图表分析师	chartist
图表库	ECharts|Apache ECharts
图表绘制	diagramming
图表绘制者	diagrammer
图解化	diagrammatise|diagrammatize
图解地	diagrammatically
图解的	diagrammatic
图钉	pushpin|thumbtack
圃鹀	ortolan
圆叶葡萄	muscadine
圆周率	pi
圆圈	circle
圆场棒球	stoolball
圆度	roundness
圆弧规	arcograph
圆形	round|rondure
圆形剧场	amphitheatre|amphitheater
圆形地	circularly
圆形大厅	rotunda
圆形屋	roundhouse
圆形山谷	cirque
圆形的	circular
圆柱体	cylinder
圆柱形的	cylindrical
圆桌会议	roundtable
圆润	rounded
圆润度	roundedness
圆滑	tact
圆滑的	tactful
圆滑者	rounder
圆点	polkadot
圆珠笔	biro|ballpoint
圆盾	buckler
圆胖	rotund|rotundity
圆规	compasses
圆锥体	conoid
圆锥帐篷	tepee
圆锥曲线	conics
圆锥的	conic
圆锥花序	panicle
圆锥花序的	paniculate
圆顶	cupola
圆顶的	domed
圆顶礼帽	billycock
圆颅党	roundhead
圆鳍雅罗鱼	chub
圆鳍鱼	lumpfish
圆齿	crenature
圆齿状	crenation
圈	hoop
圈出	circled
圈子	circles
土制的	earthen
土匪	dacoit
土地	land|Terre
土地所有权	landholding|landownership
土地的	praedial
土块	clod
土块的	cloddy
土坯	adobe
土堆	mound
土壤	soil
土壤学	pedology
土壤的	edaphic
土库曼	turkmen
土库曼斯坦	turkmenistan
土拨鼠	marmot|woodchuck
土星	Saturn
土气的	cloddish
土狼	aardwolf
土耳其人	turk
土耳其化	Turkize
土耳其帽	tarboosh
土耳其政府	Porte
土耳其毡帽	fez
土耳其的	Turkish
土著	indigene|aborigine
土著性	autochthonism
土著的	aboriginal|autochthonal
土豆	spud|Spuds
土豆兄弟	brotato
土豚	aardvark
圣	San|Sao
圣人	saint
圣代	sundae
圣体容器	pyx
圣俸	benefice
圣公会教徒	Episcopalian
圣化	sanctification
圣器保管员	sacrist|sacristan
圣器室	vestry|sacristy
圣地	shrine
圣地亚哥	Santiago
圣坛	chancel
圣墓	marabout
圣安德鲁十字	saltire
圣带	maniple
圣幕	tabernacles
圣徒	Santo|saints
圣徒传作者	hagiographer
圣徒传记	hagiography
圣徒传记集	hagiology
圣徒历	menology
圣徒身份	sainthood
圣战	jihad|crusade
圣所	bethel|sanctum
圣杯	grail|chalice
圣歌	anthem|cantus
圣殿骑士	templar
圣母	Notre|Madonna
圣母崇拜	mariolatry
圣油	chrism
圣洁的	saintly|saintlike
圣灵降临节	whitsunday
圣物	churinga
圣物盒	reliquary
圣甲虫	scarab
圣痕	stigmata
圣礼	Sac|sacrament
圣经	Bible|bibles
圣经地	biblically
圣经的	biblical|scriptural
圣职授予权	advowson
圣诗	psalm
圣诞	Noel|xmas
圣诞季	yuletide
圣诞树	Tannenbaum
圣诞老人	Santa
圣诞节	yule|Christmas
圣雄	mahatma
圣餐	Eucharist
圣餐盘	paten
圣马丁节	martinmas
圣骑士	paladin
在	in|on
在...上	atop
在...下	under
在...之中	amid|amidst
在...之前	ere
在...内	within
在…范围内	insofar
在上	whereon
在下文	thereinafter
在下方	beneath
在中间	betwixt
在之前	afore|before
在其中	wherein
在室内	indoors
在床上	abed
在意	reck|minding
在期间	during
