#兼容所有拼音类型的公共简码库
a	啊|哎|按|爱|安|暗
vf	中方|政府|支付|转发|脂肪
vu	忠实|知识|重视|只是|准时
wg	外观|我国|违规|玩过|问过|网购
wj	挖掘|稳健|旺季|外接|文件|危机
wf	微风|歪风|无法|晚饭|违反
wh	外汇|往后|文化|维护|晚会
xs	吓死|形似|血色|心算|显示|销售
xi	行程|学成|形成|下车|消除
xp	行骗|吓跑|新品|芯片|小品
xr	形容|血肉|信任|写入|陷入
xn	想念|匈奴|学年|修女|虚拟|性能
xq	象棋|秀气|雄起|兴趣|需求|想起
xx	休息|学习|详细|谢谢|学校
xm	学名|熊猫|项目|姓名|下面
xu	学生|虚实|叙述|学术|显示
yh	要好|迎合|圆滑|压坏|用户|银行
ys	有所|也算|压缩|意思|医生|优势
yu	原始|钥匙|于是|优势|预算
yt	樱桃|液态|犹太|一天|用途|议题
yz	样子|严重|原则|一直|验证
ye	婴儿
yr	圆润|萦绕|有人|依然|艺人
yy	应用|意义|英语|医院|音乐
ya	冤案
yb	月报|样本|医保|一边|一般
zg	最高|足够|糟糕|走过|增高|这个
zh	最后|做好|走好|暂缓|憎恨|正好
zs	走私|再三|作祟|赞颂|葬送|知识
zv	增长|尊重|阻止|走着|杂质|组织
zz	坐在|最早|足足|走走|藏族|正在
zf	字符|总分|罪犯|造反|政府|支付
zr	责任|早日|走人|罪人|钻入|自然
zi	组成|作出|走出|最长|在场|自己
zu	则是|走势|暂时|钻石|资深|总数
za	最爱|阻碍|作案|暂按|早安
ze	总额|罪恶
aaa	啊啊啊
add	啊对对
adl	奥地利|按道理
adm	奥达曼
agd	按规定
ahv	爱好者
ajd	安静的
alg	安了个
alh	安理会|阿里汉|阿喽哈
als	爱丽丝|安乐死
alw	埃里温|安乐窝
aqd	安全的|安全带
aqk	安全裤
atm	奥特曼
avd	挨着的
axx	爱学习
ayh	奥运会|爱一行|哎呦呵
baq	不安全|宝安区
bbb	不不不
bbk	不包括|背包客|比比看
bbl	比不了|帮不了|八百里
bbm	白帮忙
bbn	并不能|八百年
bbp	抱不平
bbu	并不是|比不上
bbv	八宝粥|不保证|憋不住
bbz	半辈子|包包子|拜把子
bcz	不存在
bda	不对啊
bdb	不得不|不达标
bdd	不对的|不懂得|不动点
bde	半道儿
bdf	贝多芬
bdg	白大褂
bdh	本地化
bdi	不动产|不对称
bdj	被大家|不对劲
bdl	不得了|不打了
bdm	帮倒忙
bdq	本地区|不定期
bdr	班得瑞
bds	不打算|被打死
bdt	半导体
bdu	表达式
bdw	本单位|不倒翁|不等我
bdx	北斗星|不动心|不得行
bdy	不低于|不等于|不但要
beg	巴尔干
beh	北二环
bei	板儿车
bej	白垩纪
bek	波尔卡
ben	包二奶
bex	不二心
bfg	避风港
bfl	百分率
bfp	捕风瓶
bfq	播放器|别放弃
bfu	比方说
bfx	被发现|不放心|暴风雪
bga	并购案
bge	冰棍儿
bgl	办公楼
bgn	不给你
bgp	不公平
bgq	办公区
bgr	被告人
bgv	办公桌|半个钟
bgy	半个月|不够用|不管用
bha	不会啊
bhk	报户口
bhl	包含了|不合理
bhn	不好弄
bhq	保护区|变换器|不回去
bhx	不和谐
bhz	不会再
bil	不成立
bjb	笔记本
bjk	不健康
bjn	比较难|比基尼
bjq	编辑器|班级群
bju	北京市|不及时|绊脚石
bkl	包括了|不考虑|伯克利
bkn	不可能|不可逆
bkq	不客气
bkx	不开心|不科学
bli	暴露出|碧螺春|比例尺
blj	不了解|不理解|八路军
blp	玻璃瓶|菠萝啤
blt	柏拉图|巴雷特
blv	避雷针|玻璃珠|八里庄
blx	不理想|玻璃心|波浪形
blz	伯利兹|半拉子|保留字
bna	不能啊
bnk	不能看
bny	不能有
bnz	不能在
bpa	保平安
bpd	不平等
bpg	变频管
bph	不平衡|不配合|白平衡
bpi	不排除|不排斥|不平常
bpl	被骗了
bpn	不骗你
bpp	不匹配
bpq	变频器
bpu	白皮书|不怕事
bqb	表情包
bqe	白求恩
bqf	版权法
bqg	版权归|不奇怪|补墙膏
bqh	搬迁户
bqi	不清楚|不牵扯
bqj	白切鸡|版权局|闭区间
bql	冰淇淋|不去了
bqn	并且能
bqu	并且是
bqy	不起眼|不情愿|标签页
brc	百日草
brd	别人的|包容度|不认得
brh	白热化|百日红
brj	别人家
brk	被认可
brl	不入流
brm	白日梦|白日门
brn	不然呢|不惹你
brq	哺乳期|不让去
bru	比如说|不认识
brw	不认为
bry	不容易|不如意
bsb	比萨饼
bsd	波塞冬
bse	贝赛尔
bsg	变速杆
bsl	变色龙
bum	不是吗
bsu	不算数|不算事
bta	变态啊
btb	比特币
btd	不停地|不太懂|标题党
bth	不太好|不太会
btk	不痛快
btl	拜托了|别提了
btx	不太像|不太行
bty	不同意|不统一|不讨厌
bub	不上班|不是吧
bud	不舍得|不是的|辨识度
bug	不是个
buh	不适合|博士后
bul	不少了|伴手礼
buq	半衰期
bva	编者按
bvb	标准版
bvd	不知道|不值得
buf	标识符
bvg	把这个
bvh	标准化|包装盒
bvi	不支持|不正常
bvk	标准库
bvl	备注栏
bvp	标志牌
bvq	保质期|不值钱
bvr	班主任|保证人
bvt	拜占庭|不折腾|布置图
bvu	不只是|本质上
bvv	标志着|标准值
bvw	标志物|不指望|包装物
bvx	标志性|不珍惜
bvy	不重要|不至于
bwb	保温杯
bwd	不稳定|保温袋
bwe	鲍威尔
bwg	博物馆
bwl	备忘录
bwn	不为难
bwp	保温瓶
bwq	不完全
bxa	不行啊
bxd	不晓得|不行的|报销单
bxf	保险费|不相符
bxh	不喜欢|不稀罕
bxi	表现出|别瞎扯
bxj	步行街|保险金
bxk	必修课|保修卡
bxl	不行了|表现力|不限量
bxn	不像你|不信呢|不行呢
bxq	不想去|保修期|不嫌弃
bxs	保险丝
bxt	本系统
bxu	半小时|不现实
bxv	八仙桌
bxw	表现为|不希望|不想玩
byk	不要看
byn	不油腻|比翼鸟
byq	编译器|不要钱|变压器
byv	不一致|毕业证
byy	不一样|不愿意
bzd	半自动
cbc	从不曾|猜不猜
cbh	才不会|从背后|从不会
cbq	擦边球|凑不齐
cbx	才不信
ccy	曾参与
cgb	从根本
chl	词汇量|才回来
cjg	才几个
cld	才来的|催泪弹
cnl	从哪里
cpg	擦屁股|裁判官
cvl	猜中了
cyc	擦一擦|猜一猜|搓一搓|撮一撮
cyg	曾有过
cyx	催一下
dbg	都不敢|打不过
dbh	都不会|都不好
dbl	大不了|倒闭了
dbn	都不能|但不能
dbp	都不怕
dbq	对不起|都不缺
dbs	都不算
ddd	端到端
ddf	的地方
ddh	打电话
ddt	点点头
ddu	大多数
ddv	等待着|东道主|多动症
ddx	的东西
ddz	大动作
kfv	开发者
dfk	豆腐块
dfn	豆腐脑|答复你
dft	答复他
dfu	电风扇|地方上
dfw	大范围|大富翁|答复我
dgf	得高分|大锅饭
dgs	大公司|打官司
dhe	等会儿|大伙儿|待会儿
dhl	带回来
djh	大家好|大家伙
djj	对讲机
djl	多久了
djt	电吉他|第几天
djz	大舅子
dkl	打开了|抵抗力
dkt	大块头
dlv	顶梁柱|第六章
dml	都没了
dnd	等你到
dng	都能够
dnv	电脑桌
dnx	对那些
dpb	的旁边
dql	读起来|打起来|斗起来
dqr	地球人
dqu	的确是
dqx	地区性|道歉信|多去下
dqy	大企业|大气压
dqz	盗窃罪|大清早|兜圈子
dsb	第三步|第三遍
dsf	第三方|第三份
duj	电视剧
dsv	第三种|第三者
dtu	但同时|大体上|地头蛇
dtx	独特性|打天下
duh	的时候
dur	当事人|多少人
duu	的身上
dux	都是些
dvh	打招呼|大众化
dvl	呆住了
dvy	都这样
dvz	大制作
dwd	等我到
dwj	端午节|第五季
dwl	耽误了|都忘了|都完了
dwt	等问题
dwv	队伍中
dwx	等我下
dxw	都希望|定心丸
dyl	电影里|大意了|等于零
dyp	电影票
dyv	第一种|大洋洲
dyz	的样子
dzc	倒栽葱
dzj	对自己
dzl	肚子里|带走了|都走了
dzp	动作片
dzr	大自然
dzv	打嘴仗
dzy	打字员
ebd	二把刀
ebu	而不是|二把手
ebw	二百五|二百万
ecy	二次元
egz	二狗子
eht	二婚头
ejv	二进制|恶即斩
elm	饿了么
els	俄罗斯|厄洛斯
elz	二愣子|二流子
epf	耳旁风
ewm	二维码|而我们
ezj	恶作剧
fbd	防波堤
fbf	服不服|烦不烦
fbu	分别是|分布式
fdj	发动机|发电机|复读机
fdl	发达了
fdx	发短信|放得下
ffv	分分钟|分封制
fgl	反过来
fhb	发红包
fhl	肺活量|复活了
fhq	防火墙|孵化器
fih	非常好|非常坏
fil	放出来|非常冷
fku	分开说
flb	菲律宾|复录比
fld	分量大
flf	翻了翻|福利费
flh	氟利昂|风凉话|分类号
fln	服了你
flx	法兰西|非理性|分量小
fmg	父母官
fmq	父母亲|房门前|发明权
fmr	复明日
fnl	负能量|服你了
fqj	番茄酱|发球局|发请柬
fql	放弃了|发起了|飞起来
fqw	废弃物|富趣味
frl	否认了
fud	发生的
fsl	放松了|烦死了
fsu	分散式
fsz	分散在
ftz	繁体字|发帖子
fvb	放这吧
fvl	非主流|负债率
fvm	非著名|辅助码
fvu	反正是
fvx	副主席|辅助性|分支行
fwd	服务端
fwq	服务器
fwr	防污染
fwt	发完贴
fxb	风向标|发行版
fxl	发现了|放下了|放心了
fxp	方向盘|氟西泮
fxq	分析器
fxx	非线性|方向性
fyf	翻一翻
fyr	发言人|抚养人
fzr	负责人|负责任
gcd	刚才的
gcl	搞错了|棺材里
gcm	各层面
gdl	搞定了
gdv	管得着
gdx	鬼东西
gdy	干瞪眼
gfl	国富论|搞反了
gfv	股份制
ggx	高跟鞋
ggz	高个子
ghg	共和国|观后感
gid	共产党|观察到|滚床单
gil	构成了|观察力|滚出来
giq	滚出去|赶出去|刚出去
giv	过程中|观察者
gku	刚开始|改口说
gll	过来了|概率论|孤零零
glv	橄榄枝
gly	橄榄油|管理员
gmb	搞明白
gmd	国民党|革命的
gme	哥们儿|赶明儿|改明儿
gmg	跟美国|鬼门关
gml	感冒了|根目录
gmn	干嘛呢
gmt	灌米汤
gmu	跟没说
gqu	感情上|高情商|过去时
grz	过日子|果然在
gsn	告诉你
gtt	共同体|光秃秃
gtz	狗腿子|赶他走
gul	过时了
gwi	购物车
gxh	个性化|更喜欢
gxl	更新了|古希腊|公信力
gxn	感谢你
gxq	感兴趣
gxu	更像是|给学生|管闲事
gxx	共享下
gyb	过一遍|雇佣兵
gyg	更应该|高压锅|狗咬狗
gyh	工业化
gyl	够用了
gyu	更衣室
gzl	骨子里
gzu	工作上
gzv	工作者
hbd	会变得|还不到|恨不得
hbh	会不会|好不好
hbl	回报率|花不了|回不来
hbn	还不能|何必呢|很别扭
hbx	还必须|还不行
hdl	获得了|好多了
hdt	好多天
hej	华尔街|合恩角
hez	华尔兹|好儿子
hgr	韩国人|回锅肉
hgt	回过头|还给他
hgu	花果山|宏观上
hhb	还好吧|豪华版
hhh	哈哈哈|嘿嘿嘿
hhl	还好了
hht	还好听
hhu	很合适|好好说|活化石
hhw	化合物
hil	很吃力
hip	火车票
hiq	缓冲区
hiy	还处于
hkg	很可观
hkn	很可能
hkp	很靠谱
hlh	很厉害
hlj	狐狸精
hll	回来了
hlu	行列式
hlx	合理性
hmd	黑名单|缓慢的|还没动
hmh	还没好
hmj	护目镜
hmy	还没有|鸿门宴
hnk	后脑壳
hnl	会努力|湖南路|活腻了
hnw	汉诺威|海内外
hpl	很漂亮|好评率|害怕了
hqg	很奇怪|好奇怪
hqx	好奇心|很清晰|很庆幸
hti	火腿肠|糊涂虫
hul	忽视了|黄鼠狼
huz	活受罪
hvl	号召力
hwb	红卫兵
hwl	很无聊|好无聊
hxg	好习惯
hxh	还喜欢
hxi	火星车|候选窗
hxk	很辛苦
hxn	好想你
hxq	好心情
hxr	好心人
hxu	好像是
hxx	坏消息
hxy	坏心眼
hxz	黑匣子
hyg	还有个|换一个
hys	会有所|好意思
hyv	后遗症|换言之|换一种
hyw	还以为
hyy	黑黝黝
hzm	还在吗
hzn	还早呢
hzq	孩子气
ibd	差不多|成本低
ibg	吃不惯|丑八怪|超不过
ibl	吃饱了|差不了|出不来
ibq	撑不起|出不去
ibu	出版社|成本是
icu	纯粹是
idu	成都市|称得上
ihh	超豪华|茶话会|臭烘烘
ikq	窗口期|喘口气
ill	出来了|赤裸裸
inp	吹牛皮
ipz	秤盘子
iql	出去了|充其量|重启了
iqt	常青藤|出气筒
irb	传染病
irf	吃软饭
ism	传送门
itg	床头柜|车同轨|抽屉柜
iub	炊事班
ivq	成长期|沉住气
ivw	称之为|楚庄王
iwg	宠物狗|储物柜|唱完歌
iwl	成为了|吃完了
ixb	插线板|畅销榜
ixu	陈先生|畅销书|出现时
ixv	初学者|赤霞珠
ixx	创新性|持续性|穿小鞋
ixy	程序员|程序猿
ixz	出现在|趁现在
iyd	常言道
iyg	差一个
iyh	差异化
iyl	产业链|差远了
iym	纯爷们
iyz	常用字|吃柚子|出月子
izv	创造者
izx	创造性
jbg	基本功
jbh	绝不会|决不会
jbi	讲不出
jbk	几百块
jbl	解不了
jbn	就不能
jbq	进不去|记不清|就不去
jbu	基本上|绝不是
jbv	经不住|架不住
jbx	就不行
jby	就不要
jcy	仅次于|检测仪
jdh	接电话|机顶盒
jdv	就等着|几点钟|景德镇
jfj	解放军|进房间
jfl	解放了|杰弗里
jgg	价格高|九宫格|就刚刚
jgi	加工厂|进工厂
jgq	几个钱|机关枪
jgr	几个人|交割日
jgs	进公司|见光死
jgt	就给他|截个图|贱骨头
jgv	就跟着|紧箍咒
jgx	结构性|金龟婿
jgy	几个月|九个月|节骨眼
jhl	急坏了
jhu	几乎是|江湖上
jhv	结婚照
jhx	就好像|几何学|计划性
jhy	就会有|嫁祸于
jhz	就会在|简化字|叫花子
jjb	就基本|精简版
jjd	就觉得
jjh	基金会|几句话|交际花
jjj	叫叫叫
jjq	加进去|锦江区
jju	仅仅是|究竟是|旧金山
jjv	紧接着|佼佼者
jjw	救救我|拒绝我|降降温
jjx	经济学|积极性
jkd	寄快递
jkk	据可靠
jkl	经看了
jkn	极可能
jku	教科书
jky	就可以
jlb	俱乐部|加勒比
jll	角落里
jlp	就离谱
jlr	经理人
jlv	军令状
jnq	几年前
jpg	卷铺盖
jqb	剪切板
jqr	机器人
jrl	进入了|加入了
jug	就是个
jsj	计算机|结算价
jsl	就算了|急死了
jsq	计算器|加速器
jsu	就算是|江苏省
jtb	就特别|剪贴板
jut	精神头|嚼舌头
jvd	就知道|精致的
jvg	价值观|将这个
jvh	江浙沪|镜中花
jvl	竞争力|记住了
jvu	简直是|建筑师|就直说
jvw	建筑物|急转弯
jvx	建筑学|集装箱|就这些
jvy	就这样|就只有
jxq	阶下囚
jzg	节奏感|就足够|就做个
jzl	就走了|接走了|君子兰
jzr	尽责任
kbi	看不出|空白处
kbq	看不起|看不清
kbt	看不透|可不填
kbu	可不是|看不上
kbz	快步走|哭鼻子
kcl	坑惨了
kdr	肯定让
kfb	开发版
kfj	空房间
kgl	看过了|考过了
kgq	开过去
kgx	客观性|考古系
kgz	嗑瓜子
khd	客户端|可获得
kil	看出来|开创了
kjj	快捷键|科技界
klk	开了口
kll	卡路里|客流量|空落落
klu	快乐水
kly	看了眼
kmd	苦命的
kmu	开幕式|昆明市
knb	可能被|可能吧
knd	可能对|可能都|跨年度
knu	可能是|可能使
kny	可能有|肯尼亚
kqb	哭去吧
kqk	口腔科|看情况
kql	看起来|开启了
krj	苦肉计|可溶解
ksl	坑死了
kti	口头禅|开天窗
kuj	开始就|跨世纪
kuv	口水战|口水仗
kvb	看着吧
qvl	卡住了
kwc	开胃菜
kwl	快完了
kwx	开玩笑|颗卫星
kxj	科学家|科学界
kxl	扛下了
kxs	苦行僧|苦相思
kyi	可以吃|开夜车
kyk	可以看|看一看
kyl	可以了|可用来
kyu	可以说
kyx	看一下
kyz	可以在|看样子
kzj	看自己
kzl	卡在了
kzy	看走眼|抠字眼
lbq	了不起|冷兵器
lbs	萝卜丝|老不死
ldf	劳动法|老地方
ldh	来电话
ldl	劳动力|脸对脸
ldv	劳动者
lfb	两分半
lfm	两方面|立方米|老父母
lfq	两分钱
lgf	驴肝肺|洛国富
lgl	了过来
lgq	了过去
lgz	两个字|六个字
lhl	来衡量|厉害了
lhn	氯化钠|老黄牛
llh	老龄化|流浪汉|拦路虎
lll	来来来|狼来了
llq	浏览器|拉力器
lnr	老年人
lpb	老婆本
lql	连起来
lsy	类似于|硫酸盐
luz	劳什子
ltg	立体感|龙头股
lth	两天后
ltq	两天前|愣头青|乱弹琴
ltt	立体图
ltw	立陶宛|量体温
lty	领头羊|老天爷
ltz	老头子|烂摊子|撂挑子
lux	临时性
lvp	连珠炮
lxj	连续剧|螺旋桨
lxu	留学生|两小时
lyg	另一个|了一个
lyt	老油条
lyz	老爷子|老样子|老油子
mbd	买不到
mbf	没办法
mbl	明白了
mbv	摸不着|明摆着|没保障
mbx	没兵线
mdb	没得比
mdd	买得到
mdh	牡丹花|马大哈|忙得很
mdl	麦当劳|马德里
mdx	买东西|目的性
mdz	没胆子
mfy	没反应|眯缝眼
mgh	玫瑰花
mgr	每个人|美国人
mhp	马后炮
mhv	迷魂阵
mhy	蛮好用|马虎眼|模糊音
mjh	没机会|每句话
mjl	孟加拉|没救了
mjv	没记住
mkg	没看够
mlg	摩洛哥
mlh	命令行|茉莉花
mlm	没礼貌|摸了摸
mlq	没力气|买路钱
mlx	免礼姓
mmb	没明白|密码本
mmt	摸摸头
mmu	明明是|慢慢刷
mmz	明明在
mng	没那个
mnq	模拟器
mnz	满脑子
mph	门牌号|冒牌货
mpj	马屁精
mql	米其林|没钱了
mqz	目前在|马前卒|煤气灶
mrf	魔然繁
mrh	猛如虎
mrj	买入价|美人计|魔然简
mrl	没人理|没人来|没人了
mrr	毛绒绒|毛茸茸
mrv	默认值
mrx	明日香|没人性|慢热型
msb	慢三步|没死吧
mud	没事的
mug	面试官|没事干
muj	没时间
msk	莫斯科|马赛克
mul	没事了|马上来
mum	没什么
msu	貌似是
muz	马上做
mtg	没听过|马桶盖|没通过
mht	马化腾|明后天|迷魂汤
mth	满堂红|没调好
mti	摩托车|木糖醇|买糖吃
mub	没事吧
mue	没事儿|马绍尔
mvd	没找到|明知道
mvg	没这个
mvx	毛主席|买这些|瞄准线
mwh	门外汉
mwj	没忘记
mwt	没问题|蒙文通
mxh	没学会
mxn	没悬念
mxq	没兴趣|每学期|每星期
mxy	莫须有|毛星云
myf	买衣服|每一份
myg	每一个|某一个|磨洋工
myl	没有了|免疫力|沐浴露|没眼力
myp	每一篇|慢一拍
myq	牧羊犬
myt	每一天|某一天
myv	每一种|某一种
myw	每一位|某一位
myx	每一项|没有像
mzl	满足了|名字里
mzz	美滋滋
naw	你爱我
nbd	拿不到|弄不懂|拿不动
nbe	尼泊尔|诺贝尔
nbh	你不会|弄不好|那不会
nbi	拿不出|难不成|那不成
nbn	能不能|难不难
nbx	你不信
ndd	难得的
ndu	那都是|那倒是
ndw	你逗我
ngb	南瓜饼
ngm	你干嘛
ngr	那个人|你个人
ngs	能告诉
nhh	你还会|黏糊糊|那还好
nhl	脑海里|拿回来
nhz	男孩子
nip	农产品
njg	那几个|哪几个
njh	你就会|那句话|那家伙
njj	你究竟|牛角尖
njl	凝聚力|你将来
njr	娘家人
njv	南极洲|那简直|哪几种
njy	诺基亚|你就要
nku	那可是
nlv	奴隶制|奴隶主
nmb	那么办
nmg	内蒙古|农民工|那么高
nmj	那么久
nml	你们俩
nnb	你牛逼
npw	你陪我
npy	男朋友|女朋友
nqd	年轻的
nql	拿起来|哪去了
nqr	年轻人|那群人
nqu	年轻时
nrw	你认为|女人味
ntj	哪条街
nud	你说的
nuh	那时候
nvw	闹着玩|你找我
nvz	那阵子
nwq	诺维奇|难为情|你无情
nxh	你喜欢|女性化|那些话
nxr	哪些人
nyg	你应该|哪一个
nyj	你已经|农业局
nyl	哪一类
nyt	哪一天
nyu	那也是
nyv	哪一种|那一种
nyy	你愿意|暖洋洋
nzh	男子汉|你最好
nzl	脑子里|拿走了
nzw	农作物|你作为
ooo	哦哦哦
pbg	拼不过|跑不过|皮包骨
pbl	跑不了
pbu	配不上|怕不是
pdg	平底锅
pdl	跑掉了
pdu	配得上
pdz	碰钉子
pgl	跑过来
pgq	跑过去
phb	排行榜|排好版
pil	批处理
pjh	跑江湖
plh	批量化|漂亮话|破烂货
plm	派拉蒙|拼了命
plu	普鲁士|泼冷水
pmk	贫民窟
pmp	拍马屁|拼命跑
pnd	骗你的
pnr	泡女人
pql	抛弃了|爬起来|跑起来
psg	怕死鬼
pum	凭什么
ptd	骗他的
pth	普通话|破天荒
ptj	葡萄酒|普通级|配套件
pul	碰上了|盘山路
pvb	配置表
pwd	骗我的
pxp	拍胸脯|拍相片
qad	亲爱的|淇澳岛
qbg	敲边鼓
qbj	前不久
qbl	去不了|起不来
qbq	瞧不起|去不去
qbt	丘比特|却不同|千比特
qbu	却不是|岂不是|且不说
qdl	取得了|确定了|强多了
qdx	确定性|确定下
qfr	签发人
qfw	全方位|抢饭碗
qgd	奇怪的|穷光蛋
qjf	全家福|强奸犯
qjn	前几年|区间内
qjr	全家人|前几日
qju	情景时
qkl	气哭了
qkx	情况下
qlh	起来嗨
qll	起来了
qlq	瞧了瞧
qlt	群聊天
qlx	请联系|前列腺
qly	千里眼
qsb	去送吧
qud	请稍等
qsl	前苏联|气死了|穷死了
qvg	全中国|敲竹杠
qvt	去找他|穷折腾
qvu	牵着手
qwb	翘尾巴
qxl	取消了|全系列|取下了
qxy	倾向于|趋向于
qys	清一色
qyt	前一天
qyw	全英文|前一晚|窃以为
qyz	起源自
qzd	全自动|却遭到
qzl	去做了
rbu	若不是|人本身
rbv	忍不住|肉搏战
rcm	人聪明
bre	不入耳
jcq	寄存器
rfz	人贩子
rgd	如果到
rgt	软骨头
rhl	如何了
rhr	任何人
rjd	人家的
rjq	扔进去
rlf	人来疯|如来佛|燃料费
rmb	人民币|软面包
rmd	人们的
rpl	人跑了
rql	肉起来
ruh	热水壶
rxi	日系车|热心肠
rxq	扔下去
ryr	人与人|忍一忍
rzl	人走了
rzn	孺子牛
sbl	死不了|算不了|随便了
sbx	所必需|四不像|塞不下
scy	三次元
sdu	所得税|苏打水|赛道上
sdv	所导致
sfq	三分球|伺服器|私房钱
sfv	散发着|三分钟
sgj	撒个娇
sgr	三个人|四个人
sgy	三个月|四个月
sjb	随机本
sjd	三季度|随机的|三角带
sjg	三鞠躬
sjx	三角形|随机性
sld	塑料袋|撕裂的
sli	三轮车|四轮车
uma	什么啊
umc	是没错|什么词
umd	什么的
umg	什么鬼|神秘感|审美观
umj	什么叫|双面胶|上面级
umr	什么人|睡美人
umu	什么是|说明书
smx	丧门星
umy	是没有|什么样|守门员
snj	三年级|四年级|死脑筋
sqv	三千丈
sru	虽然是
srx	三人行
uuk	试试看|说说看
swd	所谓的
swu	四五十|三位数
sxl	算下来|死心了|私下里
sxy	所吸引|死心眼
syd	所有的
syn	所以呢|所以能
syr	所有人
uys	是一所|啥意思
syv	所有值
syw	私以为
szm	撒子嘛
tbd	特别的|听不懂|听不到
tbi	特别长|听不出|逃不出
tbq	贴标签|听不清
tbt	疼不疼|痛不痛|听不听
tbu	特别是|谈不上
tbx	停不下
tcl	太惨了|听错了|太菜了
tdd	挺逗的
tdj	特等奖
tdl	太多了
tdx	天底下
teq	土耳其|胎儿期
tfg	托付给|通风管
tfw	铁饭碗|他反问
tgj	铁公鸡
tgl	太贵了
tgq	挺过去
tgu	听故事
thl	太好了
til	跳出来
tjz	套接字
tkl	太快了|拓宽了|太困了
tkp	太可怕
tkq	叹口气|太靠前
tlt	听力题|舔了舔|停了停
tmb	他们把|挑毛病
tml	太慢了|他们俩|太忙了
tnb	太牛逼
tnl	太难了|太牛了|听腻了
tnw	太难为
tqk	通气孔
tql	听起来|太强了|钛镪钌
tq𣱾	汰漒𣱾
tqt	抬起头
trw	他认为|她认为
tsg	碳酸钙|替死鬼
ttd	甜甜的|妥妥的|通通电
ttk	听听看
ttq	甜甜圈|透透气|通通气
ttv	团团转|太天真
tug	图书馆|听说过
tul	太帅了
tuq	调试器
tvj	天主教|太直接|弹指间
tvl	停止了|偷着乐
tvv	统治者|挑战者
txd	剃须刀|妥协的
txl	体现了|同性恋|通讯录
txq	拖下去
tyb	退一步|他一边
tyl	图一乐
typ	拖油瓶
tzy	投资于|替罪羊
ubd	失败的|说不定
ubi	说不出|上半场
ubl	受不了|说白了
ubt	双胞胎|傻白甜|舒伯特
ubu	是不是|时不时
ubx	时必须|睡不醒
udf	史蒂夫|水电费
udh	收到货|说得好|说大话
udj	圣诞节|是当今|水电局
udl	收到了|受到了|受得了
udz	设定在|书呆子
uen	十二年
ues	十二岁|十二三
ufv	身份证|十分钟
ugh	手工活
ugl	受够了
uhf	生活费
uhl	说好了
uhq	生活区|耍花腔
uhv	耍花招
ujg	十几个
ujk	数据库
ujl	睡觉了
uju	设计师|实际上|手机上
ujx	时间线|上进心
ukq	顺口气
uld	手榴弹
ull	上来了|水灵灵
ulm	耍流氓
ulu	试了试
umh	什么话|书名号
uml	说明了|生命力
umx	石墨烯|生命线|神秘学
unj	神农架|十年间|伤脑筋
unq	上哪去
upz	生僻字|屎盆子
uql	失去了|说起来
uqm	沙琪玛
uqn	十七年|数千年|上千年
uqu	申请书|圣骑士|神枪手
urf	输入法
urx	伤人心
uum	是什么
usn	十三年
uuu	事实上
utb	石头杯
uty	晒太阳|渗透压
uup	少数派|啥水平
uuq	上升期|上上签
uvl	睡着了
uvp	少壮派
uvq	生殖器|水蒸气
uvx	市中心|实质性
uwg	上万个
uwh	上午好|十五号
uwj	税务局|尚雯婕|睡午觉
uwl	是为了|失误了|耍无赖
uww	爽歪歪|十五万
uxb	上下班|手写笔|手写板
uxg	鼠须管
uxq	上学期|实习期|说下去
uxu	陕西省
uxw	上下文|双学位
uxy	首先要|受限于|耍心眼
uyb	试用版
uyg	是一个|上一个
uyn	十一年
uyq	使用权|试用期
uyu	实验室|试一试
uyx	说一下|试一下
uzg	十字镐
uzn	十字弩
uzu	实在是
van	猪啊你
vbg	只不过|战败国
vbh	准备好|治不好|真不会
vbl	准备了|张伯伦|转不了
vcg	这才敢
vdb	这都被
vdh	真的很|这段话|招待会
vdl	找到了|知道了|战斗力
vdu	真的是|这倒是
vfb	支付宝
vfg	脂肪肝
vfx	正方形
vgl	诸葛亮
vgr	中国人|这个人
vgz	涨工资
vhk	真好看
vhs	真会算
vhz	正好在
vil	支持率
vjt	这几天|只见他
vjv	这几种
vkl	展开了|逐客令
vku	这可是|专科生
vlh	质量好|纸老虎
vlj	重量级
vmc	捉迷藏|准没错|这么惨|这么菜
vmd	这么多|著名的|殖民地|长毛的
vmg	这么个|这么贵|这么怪
vmh	这么好|这么狠|这么坏
vmi	这么差|这么长|这么丑
vmj	这么久|芝麻酱
vmk	这么快|这门课|这么卡
vml	证明了|这么懒|这么溜
vmn	这么难|丈母娘|这么牛
vmq	这么强|这么巧|这么穷
vms	这貌似
vmu	这么说|这么少|桌面上
vmv	殖民者|中美洲|正面照
vmx	这么想|这么小
vmy	中没有|这么有|这么远
vnh	智能化|中南海
vnj	智能机|滞纳金|这你就
vnl	正能量|找你了
vnr	中年人|只能让
vnu	只能说|钟南山
vny	只能有
vql	站起来
vqq	转圈圈
vqt	竹蜻蜓
vrj	主人家
vth	这挺好
vtj	整条街
vtq	主题曲
vvd	真正的|转折点
vvh	这种话
vvk	找找看
vvz	这阵子
vwd	爪哇岛
vwh	执委会|中午好
vwk	赚外快
vwr	债务人|植物人
vxb	中西部|中小板|遮羞布
vxg	这些个|照相馆|主心骨
vxh	这些话|真心话
vxl	展现了|执行力|执行率
vxr	这些人|执行人
